feature_id	prevalence	total_counts	max_in_one_sample	taxon
meta_mOTU_v31_12325	2	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12325
meta_mOTU_v31_12554	2	4.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12554
ref_mOTU_v31_02152	2	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_02152
ref_mOTU_v31_03591	2	4.0	3.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; m__ref_mOTU_v31_03591
ext_mOTU_v31_17946	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_17946
ext_mOTU_v31_26960	2	3.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_26960
meta_mOTU_v31_12240	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; m__meta_mOTU_v31_12240
meta_mOTU_v31_12309	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12309
meta_mOTU_v31_12762	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12762
ref_mOTU_v31_00060	2	3.0	2.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; m__ref_mOTU_v31_00060
ref_mOTU_v31_03437	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ref_mOTU_v31_03437
ref_mOTU_v31_03630	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Dialister; m__ref_mOTU_v31_03630
ref_mOTU_v31_03661	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales fam. [Lachnospiraceae/Clostridiaceae/Ruminococcaceae]; g__Clostridiales gen. [Ruminococcus/Clostridium/Blautia]; m__ref_mOTU_v31_03661
ref_mOTU_v31_03700	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium; m__ref_mOTU_v31_03700
ref_mOTU_v31_06109	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__ref_mOTU_v31_06109
ref_mOTU_v31_06316	2	3.0	2.0	k__Bacteria; p__Firmicutes; c__Firmicutes class [Clostridia/Erysipelotrichia]; o__Firmicutes order [Clostridiales/Erysipelotrichales]; f__Firmicutes fam. [Erysipelotrichaceae/Eubacteriaceae/Clostridiaceae]; g__Firmicutes gen. [Clostridium/Eubacterium]; m__ref_mOTU_v31_06316
