Feature ID	Taxon
meta_mOTU_v31_14383	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; m__meta_mOTU_v31_14383
meta_mOTU_v31_14385	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_14385
meta_mOTU_v31_14434	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaeromassilibacillus; m__meta_mOTU_v31_14434
ref_mOTU_v31_00060	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; m__ref_mOTU_v31_00060
ref_mOTU_v31_00063	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacteriaceae gen. [Kosakonia/Enterobacter]; m__ref_mOTU_v31_00063
ref_mOTU_v31_00072	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Leclercia; m__ref_mOTU_v31_00072
ref_mOTU_v31_00077	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; m__ref_mOTU_v31_00077
ref_mOTU_v31_00080	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Pluralibacter; m__ref_mOTU_v31_00080
ref_mOTU_v31_00084	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; m__ref_mOTU_v31_00084
ref_mOTU_v31_00085	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; m__ref_mOTU_v31_00085
